Starting instrumented solve...
Solve Time: 0.6994s
Residual Calls: 1
Jacobian Calls: 5
Success: True
         829327 function calls (806698 primitive calls) in 1.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.002    0.000    1.730    0.029 __init__.py:1(<module>)
    565/1    0.007    0.000    1.150    1.150 {built-in method builtins.exec}
        1    0.000    0.000    1.150    1.150 instrumented_solve.py:1(<module>)
        1    0.000    0.000    0.699    0.699 instrumented_solve.py:18(run_instrumented)
        1    0.000    0.000    0.699    0.699 solver.py:1120(solve)
        6    0.000    0.000    0.698    0.116 instrumented_solve.py:11(_residuals_and_jacobian)
        6    0.000    0.000    0.698    0.116 solver.py:956(_residuals_and_jacobian)
        6    0.000    0.000    0.696    0.116 components.py:2088(residuals)
        6    0.696    0.116    0.696    0.116 {built-in method combaero._core.channel_compressible_residuals_and_jacobian}
        1    0.000    0.000    0.580    0.580 _root.py:25(root)
        1    0.000    0.000    0.580    0.580 _minpack_py.py:194(_root_hybr)
        7    0.000    0.000    0.580    0.083 _root.py:210(_wrapped_fun)
        9    0.000    0.000    0.580    0.064 _optimize.py:71(_compute_if_needed)
        7    0.000    0.000    0.580    0.083 _optimize.py:78(__call__)
        5    0.000    0.000    0.580    0.116 solver.py:1335(residuals_wrapper)
        1    0.000    0.000    0.466    0.466 {built-in method scipy.optimize._minpack._hybrj}
    586/1    0.002    0.000    0.450    0.450 <frozen importlib._bootstrap>:1349(_find_and_load)
    577/1    0.003    0.000    0.450    0.450 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    559/1    0.001    0.000    0.450    0.450 <frozen importlib._bootstrap>:911(_load_unlocked)
    477/1    0.001    0.000    0.450    0.450 <frozen importlib._bootstrap_external>:993(exec_module)
   1362/1    0.002    0.000    0.450    0.450 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   506/10    0.000    0.000    0.421    0.042 {built-in method builtins.__import__}
   562/44    0.001    0.000    0.419    0.010 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.326    0.326 heat_transfer.py:1(<module>)
        1    0.000    0.000    0.319    0.319 solver.py:1(<module>)
    66/47    0.000    0.000    0.182    0.004 <frozen importlib._bootstrap_external>:1299(exec_module)
    66/47    0.011    0.000    0.182    0.004 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.118    0.118 solver.py:1113(_residuals)
        2    0.000    0.000    0.114    0.057 _minpack_py.py:22(_check_func)
      281    0.000    0.000    0.107    0.000 _docscrape.py:579(__init__)
5073/4454    0.001    0.000    0.097    0.000 {built-in method builtins.hasattr}
      281    0.001    0.000    0.093    0.000 _docscrape.py:140(__init__)
        1    0.000    0.000    0.091    0.091 _linprog.py:1(<module>)
        1    0.000    0.000    0.084    0.084 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.083    0.083 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.083    0.083 _remove_redundancy.py:1(<module>)
      199    0.001    0.000    0.083    0.000 _array_api.py:840(decorator)
        1    0.000    0.000    0.083    0.083 interpolative.py:1(<module>)
        1    0.000    0.000    0.073    0.073 _base.py:1(<module>)
        1    0.000    0.000    0.073    0.073 _sputils.py:1(<module>)
        1    0.000    0.000    0.072    0.072 _util.py:1(<module>)
        1    0.000    0.000    0.072    0.072 _array_api.py:1(<module>)
  559/556    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      477    0.002    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
      281    0.002    0.000    0.067    0.000 _docscrape.py:388(_parse)
        1    0.000    0.000    0.063    0.063 _optimize.py:1(<module>)
       66    0.000    0.000    0.062    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
       66    0.059    0.001    0.062    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.057    0.057 _fftlog.py:1(<module>)
        3    0.000    0.000    0.056    0.019 _internal.py:56(clone_module)
       11    0.000    0.000    0.056    0.005 __init__.py:323(__getattr__)
